"experiment","date","datetime","unit","bti","food","treatment","n","jar","reading","initial","alive","survival","dead","exitus"
3,2025-07-23,2025-07-23 12:10:00,18,"No","High","No_High",2,"3_18_C_H_2",3,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 13:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",4,10,2,0.2,8,0.8
3,2025-07-23,2025-07-23 13:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",4,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 13:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",4,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 13:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",4,10,2,0.2,8,0.8
3,2025-07-23,2025-07-23 13:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",4,10,10,1,0,0
3,2025-07-23,2025-07-23 13:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",4,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 13:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",4,10,0,0,10,1
3,2025-07-23,2025-07-23 13:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",4,10,0,0,10,1
3,2025-07-23,2025-07-23 13:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",4,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 13:10:00,10,"No","High","No_High",1,"3_10_C_H_1",4,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 13:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",4,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 13:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",4,10,10,1,0,0
3,2025-07-23,2025-07-23 13:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",4,10,10,1,0,0
3,2025-07-23,2025-07-23 13:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",4,10,0,0,10,1
3,2025-07-23,2025-07-23 13:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",4,10,0,0,10,1
3,2025-07-23,2025-07-23 13:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",4,10,7,0.7,3,0.3
3,2025-07-23,2025-07-23 13:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",4,10,6,0.6,4,0.4
3,2025-07-23,2025-07-23 13:10:00,18,"No","High","No_High",2,"3_18_C_H_2",4,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 14:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",5,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 14:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",5,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 14:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",5,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 14:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",5,10,2,0.2,8,0.8
3,2025-07-23,2025-07-23 14:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",5,10,10,1,0,0
3,2025-07-23,2025-07-23 14:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",5,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 14:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",5,10,0,0,10,1
3,2025-07-23,2025-07-23 14:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",5,10,0,0,10,1
3,2025-07-23,2025-07-23 14:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",5,10,5,0.5,5,0.5
3,2025-07-23,2025-07-23 14:10:00,10,"No","High","No_High",1,"3_10_C_H_1",5,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 14:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",5,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 14:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",5,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 14:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",5,10,10,1,0,0
3,2025-07-23,2025-07-23 14:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",5,10,0,0,10,1
3,2025-07-23,2025-07-23 14:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",5,10,0,0,10,1
3,2025-07-23,2025-07-23 14:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",5,10,6,0.6,4,0.4
3,2025-07-23,2025-07-23 14:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",5,10,5,0.5,5,0.5
3,2025-07-23,2025-07-23 14:10:00,18,"No","High","No_High",2,"3_18_C_H_2",5,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 15:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",6,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 15:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",6,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 15:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",6,10,6,0.6,4,0.4
3,2025-07-23,2025-07-23 15:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",6,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 15:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",6,10,10,1,0,0
3,2025-07-23,2025-07-23 15:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",6,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 15:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",6,10,0,0,10,1
3,2025-07-23,2025-07-23 15:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",6,10,0,0,10,1
3,2025-07-23,2025-07-23 15:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",6,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 15:10:00,10,"No","High","No_High",1,"3_10_C_H_1",6,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 15:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",6,10,0,0,10,1
3,2025-07-23,2025-07-23 15:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",6,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 15:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",6,10,10,1,0,0
3,2025-07-23,2025-07-23 15:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",6,10,0,0,10,1
3,2025-07-23,2025-07-23 15:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",6,10,0,0,10,1
3,2025-07-23,2025-07-23 15:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",6,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 15:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",6,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 15:10:00,18,"No","High","No_High",2,"3_18_C_H_2",6,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 16:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",7,10,0,0,10,1
3,2025-07-23,2025-07-23 16:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",7,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 16:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",7,10,5,0.5,5,0.5
3,2025-07-23,2025-07-23 16:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",7,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 16:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",7,10,10,1,0,0
3,2025-07-23,2025-07-23 16:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",7,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 16:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",7,10,0,0,10,1
3,2025-07-23,2025-07-23 16:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",7,10,0,0,10,1
3,2025-07-23,2025-07-23 16:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",7,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 16:10:00,10,"No","High","No_High",1,"3_10_C_H_1",7,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 16:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",7,10,0,0,10,1
3,2025-07-23,2025-07-23 16:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",7,10,6,0.6,4,0.4
3,2025-07-23,2025-07-23 16:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",7,10,10,1,0,0
3,2025-07-23,2025-07-23 16:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",7,10,0,0,10,1
3,2025-07-23,2025-07-23 16:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",7,10,0,0,10,1
3,2025-07-23,2025-07-23 16:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",7,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 16:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",7,10,3,0.3,7,0.7
3,2025-07-23,2025-07-23 16:10:00,18,"No","High","No_High",2,"3_18_C_H_2",7,10,8,0.8,2,0.2
