"experiment","date","datetime","unit","bti","food","treatment","n","jar","reading","initial","alive","survival","dead","exitus"
3,2025-07-23,2025-07-23 10:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",1,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 10:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",1,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 10:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",1,10,7,0.7,3,0.3
3,2025-07-23,2025-07-23 10:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",1,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 10:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,10,"No","High","No_High",1,"3_10_C_H_1",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",1,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 10:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",1,10,2,0.2,8,0.8
3,2025-07-23,2025-07-23 10:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",1,10,5,0.5,5,0.5
3,2025-07-23,2025-07-23 10:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",1,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 10:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",1,10,10,1,0,0
3,2025-07-23,2025-07-23 10:10:00,18,"No","High","No_High",2,"3_18_C_H_2",1,10,10,1,0,0
3,2025-07-23,2025-07-23 11:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",2,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 11:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",2,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 11:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",2,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 11:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",2,10,6,0.6,4,0.4
3,2025-07-23,2025-07-23 11:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",2,10,10,1,0,0
3,2025-07-23,2025-07-23 11:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",2,10,10,1,0,0
3,2025-07-23,2025-07-23 11:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",2,10,2,0.2,8,0.8
3,2025-07-23,2025-07-23 11:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",2,10,0,0,10,1
3,2025-07-23,2025-07-23 11:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",2,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 11:10:00,10,"No","High","No_High",1,"3_10_C_H_1",2,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 11:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",2,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 11:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",2,10,10,1,0,0
3,2025-07-23,2025-07-23 11:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",2,10,10,1,0,0
3,2025-07-23,2025-07-23 11:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",2,10,1,0.1,9,0.9
3,2025-07-23,2025-07-23 11:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",2,10,3,0.3,7,0.7
3,2025-07-23,2025-07-23 11:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",2,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 11:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",2,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 11:10:00,18,"No","High","No_High",2,"3_18_C_H_2",2,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 12:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",3,10,3,0.3,7,0.7
3,2025-07-23,2025-07-23 12:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",3,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 12:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",3,10,8,0.8,2,0.2
3,2025-07-23,2025-07-23 12:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",3,10,4,0.4,6,0.6
3,2025-07-23,2025-07-23 12:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",3,10,10,1,0,0
3,2025-07-23,2025-07-23 12:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",3,10,9,0.9,1,0.1
3,2025-07-23,2025-07-23 12:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",3,10,0,0,10,1
